airport_name,city,country,IATA,latitude,longitude,continent_code,continent,airport
Goroka Airport,Goroka,Papua New Guinea,GKA,-6.081689834590001,145.391998291,OC,Oceania,Goroka (GKA)
Madang Airport,Madang,Papua New Guinea,MAG,-5.20707988739,145.789001465,OC,Oceania,Madang (MAG)
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789855957031,144.29600524902344,OC,Oceania,Mount Hagen (HGU)
Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977,OC,Oceania,Nadzab (LAE)
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.44338035583496,147.22000122070312,OC,Oceania,Port Moresby (POM)
Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.58383011818,143.669006348,OC,Oceania,Wewak (WWK)
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1604995728,-45.4259986877,NA,North America,Narssarssuaq (UAK)
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.6781005859,NA,North America,Godthaab (GOH)
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122218992,-50.7116031647,NA,North America,Sondrestrom (SFJ)
Thule Air Base,Thule,Greenland,THU,76.5311965942,-68.7032012939,NA,North America,Thule (THU)
Akureyri Airport,Akureyri,Iceland,AEY,65.66000366210938,-18.07270050048828,EU,Europe,Akureyri (AEY)
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.2833023071289,-14.401399612426758,EU,Europe,Egilsstadir (EGS)
Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809783935547,-23.135299682617188,EU,Europe,Isafjordur (IFJ)
Keflavik International Airport,Keflavik,Iceland,KEF,63.985000610352,-22.605600357056,EU,Europe,Keflavik (KEF)
Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415,EU,Europe,Reykjavik (RKV)
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061035156,-84.5093994140625,NA,North America,Sault Sainte Marie (YAM)
St. Anthony Airport,St. Anthony,Canada,YAY,51.3918991089,-56.083099365200006,NA,North America,St. Anthony (YAY)
Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969482422,-68.20439910888672,NA,North America,Baie Comeau (YBC)
CFB Bagotville,Bagotville,Canada,YBG,48.33060073852539,-70.99639892578125,NA,North America,Bagotville (YBG)
Baker Lake Airport,Baker Lake,Canada,YBK,64.29889678960001,-96.077796936,NA,North America,Baker Lake (YBK)
Campbell River Airport,Campbell River,Canada,YBL,49.950801849365234,-125.27100372314452,NA,North America,Campbell River (YBL)
Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897,NA,North America,Brandon (YBR)
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.1081008911,-105.138000488,NA,North America,Cambridge Bay (YCB)
Nanaimo Airport,Nanaimo,Canada,YCD,49.0549702249,-123.869862556,NA,North America,Nanaimo (YCD)
