source,destination,source_lat,source_lon,source_code,dest_lat,dest_lon,dest_code,distance
AER,KZN,43.449902,39.9566,EU,55.606201171875,49.278701782227,EU,1507.99
ASF,KZN,46.2832984924,48.0063018799,EU,55.606201171875,49.278701782227,EU,1040.94
CEK,KZN,55.305801,61.5033,EU,55.606201171875,49.278701782227,EU,773.13
DME,KZN,55.40879821777344,37.90629959106445,EU,55.606201171875,49.278701782227,EU,718.08
EGO,KZN,50.643798828125,36.5900993347168,EU,55.606201171875,49.278701782227,EU,1010.82
LED,KZN,59.80030059814453,30.262500762939453,EU,55.606201171875,49.278701782227,EU,1220.78
SVX,KZN,56.743099212646,60.802700042725,EU,55.606201171875,49.278701782227,EU,725.97
DWC,KZN,24.896356,55.161389,AS,55.606201171875,49.278701782227,EU,3443.87
FEG,KZN,40.3587989807,71.7450027466,AS,55.606201171875,49.278701782227,EU,2364.04
SKD,KZN,39.70050048828125,66.98380279541016,AS,55.606201171875,49.278701782227,EU,2199.11
UFA,KZN,54.557498931885,55.874401092529,EU,55.606201171875,49.278701782227,EU,436.91
AYT,KZN,36.898701,30.800501,AS,55.606201171875,49.278701782227,EU,2503.49
SVO,KZN,55.972599,37.4146,EU,55.606201171875,49.278701782227,EU,744.45
ALA,KZN,43.35210037231445,77.04049682617188,AS,55.606201171875,49.278701782227,EU,2404.18
DYU,KZN,38.5433006287,68.8249969482,AS,55.606201171875,49.278701782227,EU,2391.11
FRU,KZN,43.0612983704,74.4776000977,AS,55.606201171875,49.278701782227,EU,2280.73
IST,KZN,41.275278,28.751944,AS,55.606201171875,49.278701782227,EU,2184.95
LBD,KZN,40.21540069580078,69.6947021484375,AS,55.606201171875,49.278701782227,EU,2275.57
SHJ,KZN,25.32859992980957,55.5172004699707,AS,55.606201171875,49.278701782227,EU,3400.51
TAS,KZN,41.257900238,69.2811965942,AS,55.606201171875,49.278701782227,EU,2160.73
OSS,KZN,40.6090011597,72.793296814,AS,55.606201171875,49.278701782227,EU,2395.87
AER,DYU,43.449902,39.9566,EU,38.5433006287,68.8249969482,AS,2476.03
CEK,DYU,55.305801,61.5033,EU,38.5433006287,68.8249969482,AS,1942.51
DME,DYU,55.40879821777344,37.90629959106445,EU,38.5433006287,68.8249969482,AS,2966.4
KZN,DYU,55.606201171875,49.278701782227,EU,38.5433006287,68.8249969482,AS,2391.11
LED,DYU,59.80030059814453,30.262500762939453,EU,38.5433006287,68.8249969482,AS,3587.05
MRV,DYU,44.22510147094727,43.08190155029297,EU,38.5433006287,68.8249969482,AS,2233.32
NBC,DYU,55.564701080322266,52.09249877929688,EU,38.5433006287,68.8249969482,AS,2266.6
OVB,DYU,55.012599945068,82.650703430176,EU,38.5433006287,68.8249969482,AS,2104.75
SVX,DYU,56.743099212646,60.802700042725,EU,38.5433006287,68.8249969482,AS,2107.93
IKT,DYU,52.268001556396,104.38899993896,EU,38.5433006287,68.8249969482,AS,3130.39
URC,DYU,43.90710067749024,87.47419738769531,AS,38.5433006287,68.8249969482,AS,1668.74
UFA,DYU,54.557498931885,55.874401092529,EU,38.5433006287,68.8249969482,AS,2031.05
DXB,DYU,25.2527999878,55.3643989563,AS,38.5433006287,68.8249969482,AS,1943.05
DEL,DYU,28.5665,77.103104,AS,38.5433006287,68.8249969482,AS,1345.99
KBL,DYU,34.565899,69.212303,AS,38.5433006287,68.8249969482,AS,442.73
FRA,DYU,50.033333,8.570556,EU,38.5433006287,68.8249969482,AS,4835.61
KJA,DYU,56.172901,92.493301,EU,38.5433006287,68.8249969482,AS,2626.59
KRR,DYU,45.034698486328,39.170501708984,EU,38.5433006287,68.8249969482,AS,2552.06
ALA,DYU,43.35210037231445,77.04049682617188,AS,38.5433006287,68.8249969482,AS,873.18
FRU,DYU,43.0612983704,74.4776000977,AS,38.5433006287,68.8249969482,AS,691.95
IKA,DYU,35.416099548339844,51.15219879150391,AS,38.5433006287,68.8249969482,AS,1608.59
IST,DYU,41.275278,28.751944,AS,38.5433006287,68.8249969482,AS,3409.5
SGC,DYU,61.34370040893555,73.40180206298828,EU,38.5433006287,68.8249969482,AS,2555.69
SHJ,DYU,25.32859992980957,55.5172004699707,AS,38.5433006287,68.8249969482,AS,1927.04
KUF,DYU,53.504901885986,50.16429901123,EU,38.5433006287,68.8249969482,AS,2189.38
ROV,DYU,47.493888,39.924722,EU,38.5433006287,68.8249969482,AS,2538.23
VOG,DYU,48.782501220703125,44.34550094604492,EU,38.5433006287,68.8249969482,AS,2263.96
MHD,DYU,36.235198974609375,59.64099884033203,AS,38.5433006287,68.8249969482,AS,852.23
REN,DYU,51.79579925537109,55.45669937133789,EU,38.5433006287,68.8249969482,AS,1803.1
OMS,DYU,54.96699905395508,73.31050109863281,EU,38.5433006287,68.8249969482,AS,1856.67
GOJ,DYU,56.230098724365,43.784000396729,EU,38.5433006287,68.8249969482,AS,2698.3
AER,KIV,43.449902,39.9566,EU,46.92770004272461,28.93099975585937,EU,947.66
DME,KIV,55.40879821777344,37.90629959106445,EU,46.92770004272461,28.93099975585937,EU,1131.28
LED,KIV,59.80030059814453,30.262500762939453,EU,46.92770004272461,28.93099975585937,EU,1435.28
LCA,KIV,34.875099182128906,33.624900817871094,AS,46.92770004272461,28.93099975585937,EU,1395.0
DWC,KIV,24.896356,55.161389,AS,46.92770004272461,28.93099975585937,EU,3371.68
MUC,KIV,48.353802,11.7861,EU,46.92770004272461,28.93099975585937,EU,1295.26
BLQ,KIV,44.5354,11.2887,EU,46.92770004272461,28.93099975585937,EU,1395.58
TSF,KIV,45.648399,12.1944,EU,46.92770004272461,28.93099975585937,EU,1295.04
ATH,KIV,37.9364013672,23.9444999695,EU,46.92770004272461,28.93099975585937,EU,1079.19
DUB,KIV,53.421299,-6.27007,EU,46.92770004272461,28.93099975585937,EU,2586.7
FCO,KIV,41.8002778,12.2388889,EU,46.92770004272461,28.93099975585937,EU,1443.74
FRA,KIV,50.033333,8.570556,EU,46.92770004272461,28.93099975585937,EU,1539.13
LIS,KIV,38.7813,-9.13592,EU,46.92770004272461,28.93099975585937,EU,3205.21
MXP,KIV,45.6306,8.72811,EU,46.92770004272461,28.93099975585937,EU,1559.4
STN,KIV,51.8849983215,0.234999999404,EU,46.92770004272461,28.93099975585937,EU,2138.9
VCE,KIV,45.505299,12.3519,EU,46.92770004272461,28.93099975585937,EU,1286.53
VIE,KIV,48.110298156738,16.569700241089,EU,46.92770004272461,28.93099975585937,EU,939.2
VRN,KIV,45.395699,10.8885,EU,46.92770004272461,28.93099975585937,EU,1400.76
RIX,KIV,56.92359924316406,23.971099853515625,EU,46.92770004272461,28.93099975585937,EU,1162.59
IST,KIV,41.275278,28.751944,AS,46.92770004272461,28.93099975585937,EU,628.23
SGC,KIV,61.34370040893555,73.40180206298828,EU,46.92770004272461,28.93099975585937,EU,3232.12
BVA,KIV,49.45439910888672,2.1127800941467285,EU,46.92770004272461,28.93099975585937,EU,2002.76
KBP,KIV,50.345001220703125,30.894699096679688,EU,46.92770004272461,28.93099975585937,EU,406.6
OTP,KIV,44.5711111,26.085,EU,46.92770004272461,28.93099975585937,EU,342.95
CIA,KIV,41.7994,12.5949,EU,46.92770004272461,28.93099975585937,EU,1417.93
AER,MSQ,43.449902,39.9566,EU,53.882499694824,28.030700683594,EU,1451.07
DME,MSQ,55.40879821777344,37.90629959106445,EU,53.882499694824,28.030700683594,EU,659.15
GYD,MSQ,40.46749877929688,50.04669952392578,AS,53.882499694824,28.030700683594,EU,2221.23
KGD,MSQ,54.88999938964844,20.59259986877441,EU,53.882499694824,28.030700683594,EU,495.82
LED,MSQ,59.80030059814453,30.262500762939453,EU,53.882499694824,28.030700683594,EU,672.82
SVX,MSQ,56.743099212646,60.802700042725,EU,53.882499694824,28.030700683594,EU,2084.44
GVA,MSQ,46.23809814453125,6.108950138092041,EU,53.882499694824,28.030700683594,EU,1774.83
LCA,MSQ,34.875099182128906,33.624900817871094,AS,53.882499694824,28.030700683594,EU,2156.97
ARN,MSQ,59.651901245117,17.918600082397,EU,53.882499694824,28.030700683594,EU,889.86
BCN,MSQ,41.2971,2.07846,EU,53.882499694824,28.030700683594,EU,2379.5
LGW,MSQ,51.148102,-0.190278,EU,53.882499694824,28.030700683594,EU,1926.61
AMS,MSQ,52.308601,4.76389,EU,53.882499694824,28.030700683594,EU,1561.28
TLV,MSQ,32.01139831542969,34.88669967651367,AS,53.882499694824,28.030700683594,EU,2490.5
BUD,MSQ,47.42976,19.261093,EU,53.882499694824,28.030700683594,EU,947.19
CDG,MSQ,49.012798,2.55,EU,53.882499694824,28.030700683594,EU,1840.9
FCO,MSQ,41.8002778,12.2388889,EU,53.882499694824,28.030700683594,EU,1781.26
FRA,MSQ,50.033333,8.570556,EU,53.882499694824,28.030700683594,EU,1399.4
HAJ,MSQ,52.461101532,9.68507957458,EU,53.882499694824,28.030700683594,EU,1233.4
HEL,MSQ,60.317199707031,24.963300704956,EU,53.882499694824,28.030700683594,EU,740.1
MXP,MSQ,45.6306,8.72811,EU,53.882499694824,28.030700683594,EU,1657.98
NCE,MSQ,43.6584014893,7.215869903560001,EU,53.882499694824,28.030700683594,EU,1894.36
PRG,MSQ,50.1008,14.26,EU,53.882499694824,28.030700683594,EU,1033.06
VIE,MSQ,48.110298156738,16.569700241089,EU,53.882499694824,28.030700683594,EU,1027.31
WAW,MSQ,52.1656990051,20.9671001434,EU,53.882499694824,28.030700683594,EU,510.74
SVO,MSQ,55.972599,37.4146,EU,53.882499694824,28.030700683594,EU,644.38
SXF,MSQ,52.380001,13.5225,EU,53.882499694824,28.030700683594,EU,983.56
TBS,MSQ,41.6692008972,44.95470047,AS,53.882499694824,28.030700683594,EU,1848.81
KRR,MSQ,45.034698486328,39.170501708984,EU,53.882499694824,28.030700683594,EU,1269.94
EVN,MSQ,40.1473007202,44.3959007263,AS,53.882499694824,28.030700683594,EU,1959.88
RIX,MSQ,56.92359924316406,23.971099853515625,EU,53.882499694824,28.030700683594,EU,425.01
IKA,MSQ,35.416099548339844,51.15219879150391,AS,53.882499694824,28.030700683594,EU,2727.13
IST,MSQ,41.275278,28.751944,AS,53.882499694824,28.030700683594,EU,1402.72
KUF,MSQ,53.504901885986,50.16429901123,EU,53.882499694824,28.030700683594,EU,1456.72
KBP,MSQ,50.345001220703125,30.894699096679688,EU,53.882499694824,28.030700683594,EU,439.71
AUH,MSQ,24.433000564575195,54.651100158691406,AS,53.882499694824,28.030700683594,EU,3948.58
BUS,MSQ,41.6102981567,41.5997009277,AS,53.882499694824,28.030700683594,EU,1695.92
KUT,MSQ,42.176700592,42.4826011658,AS,53.882499694824,28.030700683594,EU,1683.26
VNO,MSQ,54.634102,25.285801,EU,53.882499694824,28.030700683594,EU,197.46
BEY,MSQ,33.820899963378906,35.488399505615234,AS,53.882499694824,28.030700683594,EU,2305.21
ASB,MSQ,37.986801,58.361,AS,53.882499694824,28.030700683594,EU,2904.77
TSE,MSQ,51.02220153808594,71.46690368652344,AS,53.882499694824,28.030700683594,EU,2923.26
AER,TAS,43.449902,39.9566,EU,41.257900238,69.2811965942,AS,2415.72
CEK,TAS,55.305801,61.5033,EU,41.257900238,69.2811965942,AS,1662.82
DME,TAS,55.40879821777344,37.90629959106445,EU,41.257900238,69.2811965942,AS,2771.2
GYD,TAS,40.46749877929688,50.04669952392578,AS,41.257900238,69.2811965942,AS,1620.71
KGD,TAS,54.88999938964844,20.59259986877441,EU,41.257900238,69.2811965942,AS,3837.16
KZN,TAS,55.606201171875,49.278701782227,EU,41.257900238,69.2811965942,AS,2160.73
LED,TAS,59.80030059814453,30.262500762939453,EU,41.257900238,69.2811965942,AS,3371.81
MRV,TAS,44.22510147094727,43.08190155029297,EU,41.257900238,69.2811965942,AS,2160.98
